iter	RMSE
0	0.2567940865
1	0.2559171567
2	0.2542346264
3	0.2527658028
4	0.25130885
5	0.2496675316
6	0.2482350935
7	0.2469336239
8	0.2453325012
9	0.2447411434
10	0.2441560126
11	0.2428886817
12	0.2418142534
13	0.2409975573
14	0.2394485681
15	0.2379140406
16	0.2363938638
17	0.2348879278
18	0.2338642002
19	0.2330965419
20	0.2320852108
21	0.2306178349
22	0.2300823815
23	0.2290904999
24	0.2281052056
25	0.2268391942
26	0.2258682697
27	0.2247406105
28	0.2237836594
29	0.2223921997
30	0.2211719409
31	0.2202376554
32	0.218879085
33	0.2175334821
34	0.2162007471
35	0.2148807808
36	0.2137216475
37	0.2126874667
38	0.2120143788
39	0.2107333703
40	0.2094647239
41	0.2086058386
42	0.2081444103
43	0.2068996567
44	0.2060576932
45	0.2050848429
46	0.2044514632
47	0.203376325
48	0.2021764161
49	0.2009882217
50	0.2000550418
51	0.199447145
52	0.1988518746
53	0.197694691
54	0.1966767992
55	0.1955406126
56	0.1947745381
57	0.1936568726
58	0.1929033279
59	0.1923449301
60	0.1912503522
61	0.1903921113
62	0.1894367504
63	0.1883708943
64	0.1876530241
65	0.1867213174
66	0.1856820554
67	0.1846532458
68	0.1838473617
69	0.1834685541
70	0.182783688
71	0.181783178
72	0.180792801
73	0.1798124767
74	0.1791521584
75	0.1781882879
76	0.1777035996
77	0.1770580879
78	0.1762179248
79	0.1755825368
80	0.174850013
81	0.1739289042
82	0.1733094444
83	0.1725022097
84	0.1716048209
85	0.1709050538
86	0.1700242894
87	0.1694317281
88	0.1685660744
89	0.1679836621
90	0.1671329125
91	0.166291082
92	0.165635996
93	0.1649869567
94	0.1645608962
95	0.1639212368
96	0.1632874872
97	0.1624856635
98	0.1618644483
99	0.1610777431
100	0.1605487299
101	0.1597758096
102	0.1593865315
103	0.1586255746
104	0.1581141706
105	0.157366644
106	0.1566271605
107	0.1559706828
108	0.1552460523
109	0.1545292743
110	0.1540468002
111	0.1535678928
112	0.1530925292
113	0.1523985342
114	0.1519316323
115	0.1513990429
116	0.1507233603
117	0.1502015756
118	0.1496052945
119	0.149014927
120	0.1485726678
121	0.148069006
122	0.1476338816
123	0.1473845467
124	0.1469545428
125	0.1463262701
126	0.1457664931
127	0.1451513046
128	0.1446031933
129	0.144193415
130	0.1437275506
131	0.1431932196
132	0.1426063909
133	0.1420262014
134	0.1416355646
135	0.1412479174
136	0.1408632397
137	0.1406400468
138	0.1402055144
139	0.1397050686
140	0.1391564751
141	0.1387875555
142	0.1383694218
143	0.1378359223
144	0.1373085675
145	0.1367873006
146	0.1363872541
147	0.1359249892
148	0.1354195687
149	0.1349200311
150	0.1344729513
151	0.1341395157
152	0.1336546126
153	0.1332823188
154	0.1328074176
155	0.1323381092
156	0.1318743401
157	0.1315183982
158	0.1312078532
159	0.1307572063
160	0.130452592
161	0.130051314
162	0.1296543797
163	0.1292218239
164	0.1287944503
165	0.1283722078
166	0.1280860614
167	0.1278022136
168	0.1273915387
169	0.1269858282
170	0.1266214205
171	0.1263490652
172	0.1259557085
173	0.1255671429
174	0.1252180187
175	0.1248383678
176	0.1244633702
177	0.1241263568
178	0.123760018
179	0.1235102964
180	0.1232626215
181	0.1230169784
182	0.1226637624
183	0.1223461578
184	0.1221078723
185	0.1217656688
186	0.1214277304
187	0.1211237641
188	0.1208658644
189	0.120538988
190	0.1203153789
191	0.1200936281
192	0.1197760726
193	0.1194625187
194	0.1191529235
195	0.1189139131
196	0.1186111442
197	0.1183122155
198	0.1181069183
199	0.1178142096
200	0.1175252308
201	0.1172399408
202	0.1170434981
203	0.1167641807
204	0.116571702
205	0.1163215624
206	0.1161327534
207	0.1159455437
208	0.115679709
209	0.1154396167
210	0.1151802554
211	0.1150009745
212	0.1148016775
213	0.1146044506
214	0.1143554808
215	0.114183237
216	0.1140124646
217	0.1138431521
218	0.1136752878
219	0.1134377006
220	0.1132732708
221	0.1131102512
222	0.1129486303
223	0.1127883972
224	0.1126108571
225	0.1123863935
226	0.1121648814
227	0.111993542
228	0.1118239906
229	0.1116562079
230	0.1114901746
231	0.1113425419
232	0.1111961843
233	0.1110510915
234	0.1108462239
235	0.1107041296
236	0.1105037012
237	0.1103645471
238	0.1102266
239	0.1100898503
240	0.1098971123
241	0.1097069447
242	0.1095193165
243	0.1093886425
244	0.1092449064
245	0.1091166428
246	0.1089364809
247	0.1087587361
248	0.1085833789
249	0.108460827
250	0.1082893216
251	0.1081693235
252	0.1080503767
253	0.1079324728
254	0.1078156029
255	0.1076997584
256	0.1075849309
257	0.10742434
258	0.1073000414
259	0.1071431939
260	0.1070332407
261	0.106879867
262	0.1067722166
263	0.1066655148
264	0.1065597539
265	0.1064549257
266	0.1063402869
267	0.1062374112
268	0.1061354438
269	0.106034377
270	0.1059342032
271	0.105834915
272	0.1056964955
273	0.105599297
274	0.105502959
275	0.105407474
276	0.1053128349
277	0.1052190344
278	0.1051260654
279	0.1050339208
280	0.1049425936
281	0.1048520768
282	0.1047533851
283	0.1046285323
284	0.1045408081
285	0.1044187595
286	0.1043328903
287	0.1042477849
288	0.1041551574
289	0.104038085
290	0.1039556077
291	0.1038738649
292	0.1037928503
293	0.1036804305
294	0.1036011321
295	0.1035225409
296	0.1034446507
297	0.1033674555
298	0.1032909492
299	0.1032151259
300	0.1031100283
301	0.1030358144
302	0.1029622637
303	0.1028893704
304	0.1028171288
305	0.1027455333
306	0.1026745781
307	0.1026042577
308	0.1025280315
309	0.1024590339
310	0.1023635064
311	0.1022959769
312	0.1022026223
313	0.1021105727
314	0.1020453005
315	0.1019806135
316	0.1019165065
317	0.1018529745
318	0.1017900125
319	0.1017276154
320	0.1016657782
321	0.1016044961
322	0.1015437642
323	0.1014835775
324	0.1014239314
325	0.1013648211
326	0.1013062418
327	0.1012481889
328	0.1011906577
329	0.1011336436
330	0.1010771421
331	0.1010211486
332	0.1009656586
333	0.1009106677
334	0.1008561715
335	0.1008021656
336	0.1007439342
337	0.1006909473
338	0.1006384372
339	0.1005863997
340	0.1005348306
341	0.1004837257
342	0.100433081
343	0.1003828923
344	0.1003331556
345	0.1002838669
346	0.1002350222
347	0.1001866175
348	0.100138649
349	0.1000911128
350	0.1000440049
351	0.09999732172
352	0.09995105933
353	0.099905214
354	0.09985978204
355	0.09981475975
356	0.09977014348
357	0.09972592961
358	0.09968211455
359	0.09963869474
360	0.09959566665
361	0.09955302677
362	0.09951077166
363	0.09946889785
364	0.09942740195
365	0.09938628058
366	0.09934553038
367	0.09930514804
368	0.09926513025
369	0.09922547377
370	0.09918617535
371	0.09914723178
372	0.09910863989
373	0.09907039652
374	0.09903249855
375	0.09899494288
376	0.09895772645
377	0.0989208462
378	0.09888429912
379	0.09884808222
380	0.09881219253
381	0.09877662712
382	0.09874138308
383	0.09870645751
384	0.09867184755
385	0.09863755037
386	0.09860356316
387	0.09856988312
388	0.09853650749
389	0.09850343355
390	0.09847065856
391	0.09843817984
392	0.09840599472
393	0.09837410056
394	0.09834249474
395	0.09831117466
396	0.09828013775
397	0.09824938145
398	0.09821890324
399	0.09818870061
400	0.09815877107
401	0.09812911216
402	0.09809972145
403	0.09807059651
404	0.09804173494
405	0.09801313437
406	0.09798479245
407	0.09795670683
408	0.09792887521
409	0.09790129528
410	0.09787396479
411	0.09784688147
412	0.0978200431
413	0.09779344745
414	0.09776709234
415	0.0977409756
416	0.09771509506
417	0.0976894486
418	0.09766403409
419	0.09763884945
420	0.09761389259
421	0.09758916146
422	0.097564654
423	0.0975403682
424	0.09751630206
425	0.09749245358
426	0.0974688208
427	0.09744540177
428	0.09742219454
429	0.09739919721
430	0.09737640787
431	0.09735382465
432	0.09733144567
433	0.09730926908
434	0.09728729306
435	0.09726551578
436	0.09724393545
437	0.09722255029
438	0.09720135852
439	0.09718035839
440	0.09715954817
441	0.09713892614
442	0.09711849059
443	0.09709823984
444	0.0970781722
445	0.09705828602
446	0.09703857966
447	0.09701905148
448	0.09699969987
449	0.09698052322
450	0.09696151997
451	0.09694268852
452	0.09692402733
453	0.09690553484
454	0.09688720954
455	0.0968690499
456	0.09685105443
457	0.09683322163
458	0.09681555003
459	0.09679803816
460	0.09678068459
461	0.09676348786
462	0.09674644657
463	0.0967295593
464	0.09671282466
465	0.09669624125
466	0.09667980771
467	0.09666352268
468	0.09664738481
469	0.09663139277
470	0.09661554523
471	0.09659984088
472	0.09658427843
473	0.09656885659
474	0.09655357407
475	0.09653842962
476	0.09652342199
477	0.09650854993
478	0.09649381222
479	0.09647920763
480	0.09646473495
481	0.096450393
482	0.09643618058
483	0.09642209652
484	0.09640813965
485	0.09639430882
486	0.09638060289
487	0.09636702072
488	0.0963535612
489	0.0963402232
490	0.09632700563
491	0.09631390739
492	0.0963009274
493	0.09628806458
494	0.09627531789
495	0.09626268625
496	0.09625016863
497	0.09623776399
498	0.09622547131
499	0.09621328958
500	0.09620121777
501	0.09618925491
502	0.0961774
503	0.09616565205
504	0.09615401011
505	0.09614247321
506	0.09613104039
507	0.09611971072
508	0.09610848325
509	0.09609735706
510	0.09608633123
511	0.09607540486
512	0.09606457703
513	0.09605384686
514	0.09604321345
515	0.09603267594
516	0.09602223345
517	0.09601188512
518	0.0960016301
519	0.09599146753
520	0.09598139659
521	0.09597141645
522	0.09596152626
523	0.09595172524
524	0.09594201255
525	0.09593238741
526	0.09592284902
527	0.09591339659
528	0.09590402935
529	0.09589474651
530	0.09588554733
531	0.09587643103
532	0.09586739687
533	0.0958584441
534	0.09584957199
535	0.0958407798
536	0.09583206682
537	0.09582343231
538	0.09581487558
539	0.09580639591
540	0.09579799261
541	0.09578966498
542	0.09578141235
543	0.09577323403
544	0.09576512934
545	0.09575709763
546	0.09574913823
547	0.09574125048
548	0.09573343374
549	0.09572568736
550	0.09571801071
551	0.09571040315
552	0.09570286406
553	0.09569539282
554	0.09568798881
555	0.09568065143
556	0.09567338007
557	0.09566617414
558	0.09565903303
559	0.09565195618
560	0.09564494298
561	0.09563799288
562	0.09563110529
563	0.09562427965
564	0.09561751541
565	0.09561081199
566	0.09560416886
567	0.09559758548
568	0.09559106128
569	0.09558459576
570	0.09557818836
571	0.09557183857
572	0.09556554586
573	0.09555930973
574	0.09555312964
575	0.09554700511
576	0.09554093563
577	0.0955349207
578	0.09552895982
579	0.09552305251
580	0.09551719829
581	0.09551139667
582	0.09550564717
583	0.09549994933
584	0.09549430269
585	0.09548870676
586	0.09548316111
587	0.09547766527
588	0.0954722188
589	0.09546682124
590	0.09546147216
591	0.09545617111
592	0.09545091767
593	0.09544571141
594	0.09544055189
595	0.09543543869
596	0.09543037141
597	0.09542534961
598	0.0954203729
599	0.09541544086
600	0.09541055309
601	0.09540570919
602	0.09540090876
603	0.09539615142
604	0.09539143677
605	0.09538676443
606	0.09538213402
607	0.09537754515
608	0.09537299745
609	0.09536849056
610	0.09536402409
611	0.0953595977
612	0.09535521101
613	0.09535086366
614	0.09534655531
615	0.0953422856
616	0.09533805419
617	0.09533386072
618	0.09532970485
619	0.09532558625
620	0.09532150458
621	0.09531745951
622	0.0953134507
623	0.09530947783
624	0.09530554057
625	0.09530163861
626	0.09529777162
627	0.0952939393
628	0.09529014132
629	0.09528637738
630	0.09528264717
631	0.09527895039
632	0.09527528673
633	0.09527165591
634	0.09526805761
635	0.09526449155
636	0.09526095744
637	0.09525745499
638	0.09525398392
639	0.09525054394
640	0.09524713477
641	0.09524375613
642	0.09524040775
643	0.09523708937
644	0.09523380069
645	0.09523054147
646	0.09522731143
647	0.09522411032
648	0.09522093786
649	0.09521779381
650	0.0952146779
651	0.09521158989
652	0.09520852952
653	0.09520549655
654	0.09520249072
655	0.0951995118
656	0.09519655954
657	0.0951936337
658	0.09519073404
659	0.09518786033
660	0.09518501233
661	0.09518218982
662	0.09517939256
663	0.09517662033
664	0.0951738729
665	0.09517115005
666	0.09516845155
667	0.0951657772
668	0.09516312676
669	0.09516050003
670	0.0951578968
671	0.09515531685
672	0.09515275997
673	0.09515022595
674	0.09514771459
675	0.0951452257
676	0.09514275905
677	0.09514031446
678	0.09513789172
679	0.09513549065
680	0.09513311104
681	0.0951307527
682	0.09512841544
683	0.09512609907
684	0.09512380341
685	0.09512152826
686	0.09511927345
687	0.09511703879
688	0.0951148241
689	0.0951126292
690	0.09511045392
691	0.09510829806
692	0.09510616148
693	0.09510404398
694	0.0951019454
695	0.09509986556
696	0.09509780431
697	0.09509576147
698	0.09509373688
699	0.09509173037
700	0.09508974178
701	0.09508777096
702	0.09508581773
703	0.09508388195
704	0.09508196346
705	0.0950800621
706	0.09507817771
707	0.09507631015
708	0.09507445927
709	0.09507262491
710	0.09507080693
711	0.09506900518
712	0.09506721951
713	0.09506544979
714	0.09506369586
715	0.09506195759
716	0.09506023483
717	0.09505852745
718	0.0950568353
719	0.09505515826
720	0.09505349619
721	0.09505184895
722	0.0950502164
723	0.09504859843
724	0.09504699489
725	0.09504540566
726	0.0950438306
727	0.0950422696
728	0.09504072253
729	0.09503918926
730	0.09503766967
731	0.09503616363
732	0.09503467102
733	0.09503319173
734	0.09503172563
735	0.09503027261
736	0.09502883255
737	0.09502740533
738	0.09502599084
739	0.09502458897
740	0.09502319959
741	0.09502182261
742	0.0950204579
743	0.09501910536
744	0.09501776488
745	0.09501643635
746	0.09501511966
747	0.09501381471
748	0.0950125214
749	0.09501123961
750	0.09500996926
751	0.09500871022
752	0.09500746241
753	0.09500622572
754	0.09500500005
755	0.0950037853
756	0.09500258138
757	0.09500138819
758	0.09500020563
759	0.09499903361
760	0.09499787204
761	0.09499672081
762	0.09499557985
763	0.09499444904
764	0.09499332832
765	0.09499221758
766	0.09499111673
767	0.09499002569
768	0.09498894437
769	0.09498787268
770	0.09498681054
771	0.09498575786
772	0.09498471456
773	0.09498368055
774	0.09498265575
775	0.09498164008
776	0.09498063345
777	0.09497963579
778	0.09497864701
779	0.09497766703
780	0.09497669579
781	0.09497573319
782	0.09497477916
783	0.09497383363
784	0.09497289651
785	0.09497196774
786	0.09497104724
787	0.09497013494
788	0.09496923075
789	0.09496833462
790	0.09496744646
791	0.09496656621
792	0.0949656938
793	0.09496482915
794	0.09496397219
795	0.09496312287
796	0.0949622811
797	0.09496144682
798	0.09496061997
799	0.09495980048
800	0.09495898828
801	0.09495818331
802	0.09495738551
803	0.0949565948
804	0.09495581113
805	0.09495503443
806	0.09495426464
807	0.0949535017
808	0.09495274555
809	0.09495199613
810	0.09495125337
811	0.09495051722
812	0.09494978763
813	0.09494906452
814	0.09494834784
815	0.09494763754
816	0.09494693356
817	0.09494623584
818	0.09494554433
819	0.09494485896
820	0.09494417969
821	0.09494350647
822	0.09494283923
823	0.09494217793
824	0.0949415225
825	0.09494087291
826	0.09494022909
827	0.094939591
828	0.09493895858
829	0.09493833178
830	0.09493771056
831	0.09493709486
832	0.09493648464
833	0.09493587984
834	0.09493528042
835	0.09493468633
836	0.09493409752
837	0.09493351395
838	0.09493293556
839	0.09493236231
840	0.09493179417
841	0.09493123107
842	0.09493067297
843	0.09493011984
844	0.09492957163
845	0.09492902828
846	0.09492848977
847	0.09492795604
848	0.09492742706
849	0.09492690278
850	0.09492638316
851	0.09492586815
852	0.09492535772
853	0.09492485183
854	0.09492435044
855	0.0949238535
856	0.09492336097
857	0.09492287282
858	0.09492238901
859	0.0949219095
860	0.09492143425
861	0.09492096322
862	0.09492049638
863	0.09492003368
864	0.0949195751
865	0.09491912059
866	0.09491867012
867	0.09491822365
868	0.09491778114
869	0.09491734257
870	0.09491690789
871	0.09491647708
872	0.09491605009
873	0.09491562689
874	0.09491520746
875	0.09491479175
876	0.09491437973
877	0.09491397137
878	0.09491356663
879	0.0949131655
880	0.09491276792
881	0.09491237388
882	0.09491198333
883	0.09491159626
884	0.09491121262
885	0.09491083239
886	0.09491045553
887	0.09491008202
888	0.09490971183
889	0.09490934493
890	0.09490898128
891	0.09490862086
892	0.09490826364
893	0.0949079096
894	0.0949075587
895	0.09490721091
896	0.09490686621
897	0.09490652457
898	0.09490618597
899	0.09490585037
900	0.09490551775
901	0.09490518808
902	0.09490486134
903	0.0949045375
904	0.09490421654
905	0.09490389842
906	0.09490358313
907	0.09490327064
908	0.09490296092
909	0.09490265395
910	0.0949023497
911	0.09490204816
912	0.09490174929
913	0.09490145307
914	0.09490115949
915	0.09490086851
916	0.09490058011
917	0.09490029427
918	0.09490001097
919	0.09489973018
920	0.09489945188
921	0.09489917606
922	0.09489890268
923	0.09489863173
924	0.09489836318
925	0.09489809701
926	0.09489783321
927	0.09489757175
928	0.09489731261
929	0.09489705576
930	0.0948968012
931	0.09489654889
932	0.09489629883
933	0.09489605098
934	0.09489580533
935	0.09489556186
936	0.09489532055
937	0.09489508139
938	0.09489484434
939	0.0948946094
940	0.09489437654
941	0.09489414574
942	0.094893917
943	0.09489369028
944	0.09489346558
945	0.09489324286
946	0.09489302213
947	0.09489280335
948	0.09489258651
949	0.0948923716
950	0.09489215859
951	0.09489194747
952	0.09489173823
953	0.09489153084
954	0.09489132529
955	0.09489112156
956	0.09489091964
957	0.09489071951
958	0.09489052116
959	0.09489032456
960	0.09489012971
961	0.09488993659
962	0.09488974518
963	0.09488955546
964	0.09488936743
965	0.09488918107
966	0.09488899636
967	0.09488881329
968	0.09488863184
969	0.094888452
970	0.09488827375
971	0.09488809709
972	0.09488792199
973	0.09488774844
974	0.09488757644
975	0.09488740596
976	0.09488723699
977	0.09488706952
978	0.09488690353
979	0.09488673901
980	0.09488657596
981	0.09488641435
982	0.09488625417
983	0.09488609541
984	0.09488593806
985	0.09488578211
986	0.09488562754
987	0.09488547434
988	0.09488532249
989	0.09488517199
990	0.09488502283
991	0.09488487499
992	0.09488472846
993	0.09488458323
994	0.09488443929
995	0.09488429662
996	0.09488415522
997	0.09488401507
998	0.09488387616
999	0.09488373848
