iter	Passed	Remaining
0	154	154116
1	162	81212
2	175	58344
3	193	48236
4	213	42400
5	224	37242
6	243	34484
7	260	32328
8	271	29920
9	285	28281
10	295	26552
11	312	25703
12	328	24942
13	344	24231
14	357	23480
15	371	22816
16	388	22440
17	398	21759
18	416	21495
19	426	20889
20	449	20941
21	459	20446
22	472	20091
23	497	20239
24	516	20133
25	534	20007
26	551	19878
27	569	19778
28	588	19701
29	600	19401
30	616	19277
31	639	19356
32	653	19160
33	666	18933
34	679	18726
35	690	18482
36	707	18418
37	727	18428
38	745	18371
39	757	18179
40	769	18010
41	792	18085
42	803	17871
43	814	17706
44	838	17796
45	856	17754
46	872	17696
47	890	17665
48	901	17498
49	915	17391
50	933	17364
51	950	17331
52	965	17242
53	978	17138
54	996	17117
55	1010	17026
56	1029	17030
57	1041	16917
58	1059	16899
59	1071	16791
60	1082	16660
61	1100	16648
62	1118	16641
63	1130	16529
64	1147	16503
65	1164	16481
66	1177	16396
67	1189	16302
68	1208	16299
69	1220	16210
70	1238	16200
71	1249	16109
72	1262	16031
73	1274	15951
74	1299	16023
75	1308	15912
76	1321	15844
77	1342	15873
78	1359	15846
79	1383	15907
80	1399	15881
81	1411	15805
82	1436	15876
83	1454	15864
84	1467	15792
85	1484	15777
86	1496	15706
87	1512	15674
88	1524	15605
89	1542	15598
90	1552	15507
91	1564	15438
92	1581	15425
93	1599	15412
94	1617	15408
95	1635	15398
96	1653	15389
97	1664	15323
98	1688	15364
99	1699	15296
100	1723	15336
101	1737	15295
102	1749	15233
103	1770	15257
104	1806	15395
105	1826	15402
106	1839	15350
107	1859	15356
108	1872	15308
109	1890	15299
110	1909	15292
111	1937	15360
112	1959	15384
113	1975	15351
114	1992	15330
115	2017	15376
116	2046	15441
117	2064	15432
118	2080	15399
119	2095	15365
120	2110	15329
121	2124	15291
122	2140	15259
123	2150	15195
124	2166	15164
125	2176	15100
126	2203	15148
127	2214	15089
128	2230	15062
129	2251	15068
130	2267	15040
131	2282	15011
132	2293	14949
133	2302	14879
134	2324	14894
135	2345	14898
136	2365	14902
137	2378	14857
138	2395	14835
139	2413	14823
140	2426	14785
141	2444	14769
142	2461	14749
143	2471	14693
144	2482	14637
145	2494	14589
146	2512	14576
147	2528	14556
148	2543	14524
149	2555	14481
150	2572	14462
151	2589	14446
152	2601	14400
153	2618	14383
154	2629	14333
155	2641	14290
156	2653	14245
157	2670	14231
158	2688	14222
159	2700	14179
160	2717	14161
161	2734	14143
162	2750	14124
163	2763	14086
164	2774	14039
165	2786	14000
166	2804	13987
167	2821	13975
168	2834	13937
169	2845	13893
170	2863	13883
171	2880	13868
172	2893	13829
173	2903	13783
174	2920	13766
175	2931	13726
176	2945	13695
177	2962	13679
178	2973	13640
179	2996	13652
180	3015	13643
181	3038	13656
182	3049	13616
183	3067	13604
184	3087	13602
185	3099	13565
186	3111	13526
187	3128	13511
188	3144	13491
189	3158	13463
190	3174	13445
191	3192	13435
192	3203	13393
193	3214	13353
194	3228	13326
195	3246	13318
196	3259	13287
197	3271	13251
198	3293	13258
199	3306	13225
200	3318	13191
201	3329	13153
202	3347	13142
203	3358	13105
204	3379	13105
205	3396	13090
206	3420	13104
207	3438	13094
208	3450	13059
209	3468	13047
210	3479	13012
211	3502	13019
212	3519	13004
213	3535	12987
214	3547	12951
215	3563	12934
216	3580	12920
217	3598	12910
218	3616	12898
219	3627	12860
220	3644	12845
